,Dry_matter,Protein,N,P,K,Ca,Fe,Zn,Mg,N_uptake,P_uptake,K_uptake,Ca_uptake,Fe_uptake,Zn_uptake,Mg_uptake,Acid_phosphomonosterase,Dehydrogenase,pH,EC,Plant_height_20DAT,Stem_diameter_20DAT,SPAD_20DAT,NDVI_20DAT,Plant_height_35DAT,Stem_diameter_35DAT,SPAD_35DAT,NDVI_35DAT,Flower_buds,Above_ground_biomass,PFPN,Agronomic_NUE,Recovery_rate_N,Recovery_rate_P,Recovery_rate_K,Physiological_Efficiency,N_P_ratio
Plant_height_20DAT,0.5079301504459827,0.4152922940328137,0.4171425747632947,-0.7093796568224037,0.3121444737219467,-0.848950137842343,-0.13766698700280686,-0.3212142805413942,-0.9590684536264412,0.937816959335705,0.7941129066136471,0.8759026154335157,0.6391008558430479,0.4303784444764322,0.10018396684687461,0.8045539903815482,-0.254990290088587,0.020747036430212466,0.2081981660726476,0.5399347669370635,1.0,0.6234514646316226,0.8666815109682742,-0.1370903339067689,0.95198899856379,0.9067489390139581,0.852134230041433,0.053866962848544704,0.8835748683641095,0.927157551329706,0.7500497161863441,0.7462209012919603,0.5463212773269118,0.5669935129904271,0.31481165332316596,0.329969277674275,0.36193325856903374
Stem_diameter_20DAT,0.4028008416696167,0.2175419739494274,0.2185510432848987,-0.40106504850148894,0.040895189187060865,-0.401585411719728,0.036572508237845455,-0.07040404663166036,-0.559508413126452,0.5704747317835221,0.5389736052330977,0.5409325134691705,0.5931851422981594,0.39815860777364875,0.2614893288609755,0.585627387109443,-0.3846390562727834,0.3294300387474769,0.30440687106109315,0.3713367656791525,0.6234514646316226,1.0,0.5601460307000791,0.18696690187988807,0.5930033410888256,0.7889193373811826,0.5767107296134857,-0.22678453991843367,0.5734895601229446,0.5715863213590893,0.2678642623865152,0.211853328317982,0.11054929474907152,0.27293882235080147,0.18841788211187263,0.06962002213496377,0.12053632187950607
SPAD_20DAT,0.5561298552426911,0.588852063319565,0.5896958891277296,-0.8821532588231658,0.5643284158344809,-0.9124645482842599,-0.034967407812378684,-0.21922605255109134,-0.9015342284308363,0.8402796407728382,0.5606868207592178,0.8115483085108529,0.40788314556209254,0.5213252209172872,0.23827074899307846,0.6963213216341406,0.08518731733114292,-0.11415554841564553,-0.12085468992880838,0.39734076480992486,0.8666815109682742,0.5601460307000791,1.0,-0.04483216251960064,0.9069484302355433,0.826056323665401,0.9105602285926395,-0.0175421900335246,0.8753916712345697,0.747111407556532,-0.3674070265691069,-0.2514868506786157,0.13191158725387592,-0.34939154341850553,-0.1833096711202951,-0.3473032559048197,0.5843163329535477
NDVI_20DAT,0.07568536075100815,-0.0015454890846801142,-0.0020969950119477786,0.19956717220660256,0.0020962902525238558,0.17378351916751497,0.506462858951632,0.8234553044463813,0.14518762873421107,-0.11698696255201749,-0.06215768182216219,-0.05432722164608856,0.0007542189522131645,0.28539789239016056,0.7657902516343902,-0.021222608325638208,-0.017309030265061382,0.4037242783108594,-0.04360484094046577,-0.0008530541661170451,-0.1370903339067689,0.18696690187988807,-0.04483216251960064,1.0,-0.1063663667806316,-0.033143262115557334,0.02304590827987189,-0.92410380137253,-0.15851772124686914,-0.139084837837728,-0.10706447976691388,-0.05986145860077688,0.014703791484809355,0.046168447993070495,0.19151677426321478,-0.030692025121233618,-0.11441753209189397
Plant_height_35DAT,0.5598376414450652,0.427554721458896,0.4290754984306781,-0.7548340788847295,0.43611606853745705,-0.8860265533371237,-0.1236711243067362,-0.297831536242801,-0.9605996923377045,0.9287677616665742,0.779424342234086,0.9093492466985206,0.6348503012574285,0.4893155398758802,0.1380372025803838,0.8293270830440637,-0.19553581232537448,0.06803116089820654,0.15423855938791112,0.5814239202594894,0.95198899856379,0.5930033410888256,0.9069484302355433,-0.1063663667806316,1.0,0.8977173673658304,0.8754309864467841,0.03540284213507344,0.9102874377311754,0.914027530930937,0.7556528784948804,0.6938678291188295,0.3474814011663474,0.6217475584801908,0.4330670305740968,0.3918145112398639,0.37448800632109513
Stem_diameter_35DAT,0.46387364643121454,0.32797956289519026,0.32878408031385903,-0.6600404441624654,0.22831208868167038,-0.7351576448211592,-0.18040524475850034,-0.2008010142602929,-0.8528699448130888,0.8534802871399446,0.7240476798941055,0.7942793327943667,0.6634174249775555,0.38026403907754996,0.09378120561723138,0.7600899000700082,-0.3267938501443035,0.20354330522280153,0.2772119129168766,0.5582166643795466,0.9067489390139581,0.7889193373811826,0.826056323665401,-0.033143262115557334,0.8977173673658304,1.0,0.7694030297630315,-0.03930137099616225,0.845081343231058,0.8517397295879459,0.5818774127308767,0.4685505048866229,0.2406484895078102,0.36707783103302116,0.18542000586322038,0.22259795382785152,0.29384816039281864
SPAD_35DAT,0.6227803455590263,0.5978216665273982,0.6002770805772109,-0.8489737312503381,0.4423236105809466,-0.8217602719306355,0.07785772479107121,-0.21150854231720786,-0.8860872812171743,0.8153468112689861,0.5674433686951749,0.7981333068195285,0.5110330750684209,0.5938242163918604,0.34263476005409027,0.7426113412830064,-0.013660326825483748,0.0014848371873830504,-0.006369571770615935,0.4429363582821207,0.852134230041433,0.5767107296134857,0.9105602285926395,0.02304590827987189,0.8754309864467841,0.7694030297630315,1.0,-0.06955960835211111,0.86603914394928,0.7291185436446147,-0.2701745239611142,-0.1721177616395181,0.139989204743692,-0.1714211978985907,0.04556342131208507,-0.1461370935020294,0.5322093802832378
NDVI_35DAT,-0.19421234365519896,0.04565566996698229,0.046266889360595954,-0.11632409855623733,0.057195152497773835,-0.13244262624291453,-0.4239838354152677,-0.7804375130840135,-0.06735577707140036,0.0654005910811775,-0.011482331234157435,-0.022828663255300953,-0.08817903107039132,-0.25087282129659555,-0.6866667391887902,-0.06696674719108298,0.08138377486931396,-0.40538510188123567,-0.009245491078295932,-0.04629743560482851,0.053866962848544704,-0.22678453991843367,-0.0175421900335246,-0.92410380137253,0.03540284213507344,-0.03930137099616225,-0.06955960835211111,1.0,0.09619262119498606,0.06604838803490176,0.026923132626798848,0.030947983214389144,0.03371187467681785,-0.08047255591888242,-0.2642103900075707,-0.014473149950750424,0.15345073108452797
Flower_buds,0.5182783097950595,0.43745546384561657,0.4400330949352088,-0.7952804857872889,0.3563449613800376,-0.8338602091913924,-0.17005764170425922,-0.34380121826386334,-0.8959529152106225,0.8524556072384385,0.6526769613796143,0.8078001672594325,0.5607099405316721,0.457935395260028,0.1433740145494069,0.7355596553356519,-0.10848115141650806,0.10658384921538655,0.10670126336495443,0.459568855684149,0.8835748683641095,0.5734895601229446,0.8753916712345697,-0.15851772124686914,0.9102874377311754,0.845081343231058,0.86603914394928,0.09619262119498606,1.0,0.8202719583972845,0.27755816956095536,0.23404077227897474,0.15153978777647106,0.07264641886442784,0.004692410381508115,0.24882878950941997,0.43568140642405756
Above_ground_biomass,0.5760445366256186,0.21685847859904167,0.2180172503046055,-0.5679237298917561,0.20582137542950907,-0.7807809089495729,-0.16871913414808484,-0.32861697650836913,-0.8933394503407669,0.9501140496473205,0.9420721686006912,0.9320056867613769,0.7964201182465207,0.47750439940063444,0.09911211129051747,0.9054484523091213,-0.37076595095395937,0.13692032430251275,0.32421683110943117,0.6205188455948869,0.927157551329706,0.5715863213590893,0.747111407556532,-0.139084837837728,0.914027530930937,0.8517397295879459,0.7291185436446147,0.06604838803490176,0.8202719583972845,1.0,0.9999999999999996,0.9389364399473862,0.5268800355035469,0.8739576627261316,0.6462783804259267,0.5603778734256425,0.11215247883261872
PFPN,0.15353567895667836,-0.5361835156971763,-0.5364252999854761,0.6252150529245366,-0.5709422400108841,0.11131753611601211,-0.36240457053227715,-0.29201423342875876,-0.6767045564702534,0.8036694191121228,0.9373907571227565,0.7395364311811972,0.7857819616157052,0.015075274682192856,-0.12186090577905506,0.7195150991455764,-0.658950601451468,0.40473884744642746,0.6539215836037084,0.43100756597887246,0.7500497161863441,0.2678642623865152,-0.3674070265691069,-0.10706447976691388,0.7556528784948804,0.5818774127308767,-0.2701745239611142,0.026923132626798848,0.27755816956095536,0.9999999999999996,1.0,0.9389364399473862,0.5268800355035472,0.8739576627261315,0.6462783804259266,0.5603778734256426,-0.6256330845478106
Agronomic_NUE,0.14984725370599344,-0.4130448028999148,-0.41285684763419617,0.6208732978938466,-0.4075708884487987,-0.086228710044757,-0.2601319951339789,-0.17773099914047188,-0.665871812332154,0.8150770637320305,0.9001615716180801,0.76202006482327,0.6260571053630918,0.0899352681877571,-0.015618067882780686,0.6518303503240083,-0.41367612831223405,0.15257548231805018,0.4045606615662941,0.19274782253234116,0.7462209012919603,0.211853328317982,-0.2514868506786157,-0.05986145860077688,0.6938678291188295,0.4685505048866229,-0.1721177616395181,0.030947983214389144,0.23404077227897474,0.9389364399473862,0.9389364399473862,1.0,0.682847373500267,0.9183277027552336,0.7300191599936057,0.5532272288645304,-0.5287989597778752
Recovery_rate_N,-0.1511567019556082,0.3729844095312765,0.3733637300175495,0.279972322800929,-0.0023602015559628397,-0.16180387350975892,-0.2194501907066285,0.03958373620519229,-0.3285110171010612,0.8824669829213646,0.4274681865888701,0.41028540726351104,0.2068335341196416,-0.0835831131753901,0.0691300645908601,0.21667947232765053,0.03882203782502728,-0.192406572833236,-0.10152999030493237,-0.0759476850773981,0.5463212773269118,0.11054929474907152,0.13191158725387592,0.014703791484809355,0.3474814011663474,0.2406484895078102,0.139989204743692,0.03371187467681785,0.15153978777647106,0.5268800355035469,0.5268800355035472,0.682847373500267,1.0,0.5086552442987298,0.4407270260025899,-0.021525474671238835,0.15614767841853405
Recovery_rate_P,0.4128920186468652,-0.514193551499997,-0.5137892430498885,0.7177720718020054,-0.46635315550978196,-0.058359846220303865,-0.05891768251999316,-0.03869572469707223,-0.5264817098491124,0.6657119144073285,0.9696125888764513,0.8270046823006558,0.69188286841813,0.32073849227530615,0.15243363977176508,0.8086406323467747,-0.4148953478168546,0.25293645282407595,0.3888537456287193,0.18050334915658023,0.5669935129904271,0.27293882235080147,-0.34939154341850553,0.046168447993070495,0.6217475584801908,0.36707783103302116,-0.1714211978985907,-0.08047255591888242,0.07264641886442784,0.8739576627261316,0.8739576627261315,0.9183277027552336,0.5086552442987298,1.0,0.8078363130687056,0.6179922251277419,-0.7261791596314208
Recovery_rate_K,0.6254205515576188,-0.44977619709169336,-0.44976851649970184,0.33335996982941574,-0.10256829146091262,-0.18769814788801692,0.10914545405049203,0.1227409958574314,-0.3949904188640911,0.5186390901641031,0.7459160433823662,0.977167777962471,0.5432436996801118,0.4731522981412138,0.3463218596197269,0.7930698859283726,-0.18871268445797662,0.17024619614430056,0.1790189893872911,0.037882990078055456,0.31481165332316596,0.18841788211187263,-0.1833096711202951,0.19151677426321478,0.4330670305740968,0.18542000586322038,0.04556342131208507,-0.2642103900075707,0.004692410381508115,0.6462783804259267,0.6462783804259266,0.7300191599936057,0.4407270260025899,0.8078363130687056,1.0,0.4543374632069432,-0.6428393600657655
Physiological_Efficiency,0.38476775371463784,-0.7338160132483076,-0.7330612387861342,0.3971927376318813,-0.49822530671183796,0.0854446466164342,0.061528461961757513,-0.11298632078103034,-0.3411159582902335,0.14491871477787313,0.621717981996234,0.4737514085640736,0.5576426819995591,0.41514698443228387,0.07216163376161684,0.6046663127521178,-0.33153657728544145,0.24264229039713842,0.34786505836475706,0.16618221833999894,0.329969277674275,0.06962002213496377,-0.3473032559048197,-0.030692025121233618,0.3918145112398639,0.22259795382785152,-0.1461370935020294,-0.014473149950750424,0.24882878950941997,0.5603778734256425,0.5603778734256426,0.5532272288645304,-0.021525474671238835,0.6179922251277419,0.4543374632069432,1.0,-0.697086023426171
N_P_ratio,-0.1809296882202418,0.879165664604369,0.8801174106225569,-0.6063500986347314,0.6321615331554411,-0.4574347770305811,-0.03947318782669981,-0.10999573371335203,-0.39192341190283997,0.3720881593874836,-0.1747680244147578,0.13696761989338996,-0.23128351615569726,-0.0459969221262028,-0.0388146890858282,-0.0488872717170351,0.3804630434925653,-0.3625470430970012,-0.4130277383504706,0.04353749725972341,0.36193325856903374,0.12053632187950607,0.5843163329535477,-0.11441753209189397,0.37448800632109513,0.29384816039281864,0.5322093802832378,0.15345073108452797,0.43568140642405756,0.11215247883261872,-0.6256330845478106,-0.5287989597778752,0.15614767841853405,-0.7261791596314208,-0.6428393600657655,-0.697086023426171,1.0
